"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","IETF-VRRP-VRID_02","Intel_30:32:07","ARP","56","Who has 172.17.61.98? Tell 172.17.60.1"
"2","0.000001009","3a:91:23:d4:b7:80","Intel_30:32:07","ARP","56","Who has 172.17.60.1? Tell 172.17.61.50"
"3","0.014209476","fe80::897:1926:b4ae:7b96","ff02::fb","MDNS","120","Standard query 0x0000 PTR _companion-link._tcp.local, ""QU"" question PTR _rdlink._tcp.local, ""QU"" question"
"4","0.017730202","172.17.60.119","224.0.0.251","IGMPv2","56","Membership Report group 224.0.0.251"
"5","0.017749406","172.17.60.119","224.0.0.251","MDNS","100","Standard query 0x0000 PTR _companion-link._tcp.local, ""QU"" question PTR _rdlink._tcp.local, ""QU"" question"
"6","0.017749962","172.17.60.119","224.0.0.251","MDNS","86","Standard query 0x0000 PTR _companion-link._tcp.local, ""QM"" question"
"7","0.017789672","172.17.60.119","224.0.0.2","IGMPv2","56","Leave Group 224.0.0.251"
"8","0.019133125","fe80::897:1926:b4ae:7b96","ff02::fb","MDNS","106","Standard query 0x0000 PTR _companion-link._tcp.local, ""QM"" question"
"9","0.025717567","3a:91:23:d4:b7:80","Intel_30:32:07","ARP","56","Gratuitous ARP for 172.17.61.50 (Reply)"
"10","0.270836795","fe80::3891:23ff:fed4:b780","ff02::fb","MDNS","139","Standard query 0x0004 PTR _googlecast._tcp.local, ""QM"" question PTR _674A0243._sub._googlecast._tcp.local, ""QM"" question PTR _8E6C866D._sub._googlecast._tcp.local, ""QM"" question"
"11","0.270837636","fe80::640a:e1ff:fee3:fd7e","ff02::fb","MDNS","506","Standard query response 0x0000 PTR, cache flush Android_5TRTF8PB.local AAAA, cache flush fe80::640a:e1ff:fee3:fd7e PTR, cache flush Android_5TRTF8PB.local A, cache flush 172.17.60.57 PTR IzdYT1P8n14AAA._FC9F5ED42C8A._tcp.local SRV, cache flush 0 0 53601 Android_5TRTF8PB.local TXT, cache flush PTR _FC9F5ED42C8A._tcp.local NSEC, cache flush E.7.D.F.3.E.E.F.F.F.1.E.A.0.4.6.0.0.0.0.0.0.0.0.0.0.0.0.0.8.E.F.ip6.arpa NSEC, cache flush Android_5TRTF8PB.local NSEC, cache flush 57.60.17.172.in-addr.arpa NSEC, cache flush IzdYT1P8n14AAA._FC9F5ED42C8A._tcp.local"
"12","0.271162144","172.17.60.47","224.0.0.251","MDNS","385","Standard query response 0x0000 PTR 0X1622â\200\231s MacBook Air._companion-link._tcp.local SRV, cache flush 0 0 56900 0X1622-2.local TXT, cache flush TXT A, cache flush 172.17.60.47 NSEC, cache flush 0X1622â\200\231s MacBook Air._companion-link._tcp.local NSEC, cache flush 0X1622-2.local"
"13","0.271213221","172.17.61.50","224.0.0.251","MDNS","119","Standard query 0x0004 PTR _googlecast._tcp.local, ""QM"" question PTR _674A0243._sub._googlecast._tcp.local, ""QM"" question PTR _8E6C866D._sub._googlecast._tcp.local, ""QM"" question"
"14","0.271236515","fe80::c8d:5120:59d1:acf5","ff02::1:ff4f:9e2b","ICMPv6","86","Neighbor Solicitation for fe80::c08:20b6:ed4f:9e2b from 42:40:2f:3b:6a:dc"
"15","0.271235331","172.17.60.57","224.0.0.251","MDNS","486","Standard query response 0x0000 PTR, cache flush Android_5TRTF8PB.local AAAA, cache flush fe80::640a:e1ff:fee3:fd7e PTR, cache flush Android_5TRTF8PB.local A, cache flush 172.17.60.57 PTR IzdYT1P8n14AAA._FC9F5ED42C8A._tcp.local SRV, cache flush 0 0 53601 Android_5TRTF8PB.local TXT, cache flush PTR _FC9F5ED42C8A._tcp.local NSEC, cache flush E.7.D.F.3.E.E.F.F.F.1.E.A.0.4.6.0.0.0.0.0.0.0.0.0.0.0.0.0.8.E.F.ip6.arpa NSEC, cache flush Android_5TRTF8PB.local NSEC, cache flush 57.60.17.172.in-addr.arpa NSEC, cache flush IzdYT1P8n14AAA._FC9F5ED42C8A._tcp.local"
"16","0.340737210","fe80::104b:43ee:5ae8:4cf7","ff02::fb","MDNS","452","Standard query response 0x0000 PTR Gauthamâ\200\231s MacBook Air._companion-link._tcp.local TXT TXT, cache flush SRV, cache flush 0 0 60085 Gauthams-MacBook-Air.local AAAA, cache flush fe80::104b:43ee:5ae8:4cf7 A, cache flush 172.17.61.106 NSEC, cache flush Gauthamâ\200\231s MacBook Air._companion-link._tcp.local NSEC, cache flush Gauthams-MacBook-Air.local"
"17","0.340958823","172.17.61.106","224.0.0.251","MDNS","432","Standard query response 0x0000 PTR Gauthamâ\200\231s MacBook Air._companion-link._tcp.local TXT TXT, cache flush SRV, cache flush 0 0 60085 Gauthams-MacBook-Air.local AAAA, cache flush fe80::104b:43ee:5ae8:4cf7 A, cache flush 172.17.61.106 NSEC, cache flush Gauthamâ\200\231s MacBook Air._companion-link._tcp.local NSEC, cache flush Gauthams-MacBook-Air.local"
"18","0.386279955","172.17.61.200","104.16.10.34","TCP","66","47466  >  443 [ACK] Seq=1 Ack=1 Win=61 Len=0 TSval=3486623087 TSecr=1867216934"
"19","0.389140052","104.16.10.34","172.17.61.200","TCP","66","[TCP ACKed unseen segment] 443  >  47466 [ACK] Seq=1 Ack=2 Win=295 Len=0 TSval=1867217957 TSecr=3486572934"
"20","0.460809275","172.17.61.226","239.255.255.250","SSDP","212","M-SEARCH * HTTP/1.1 "
"21","0.537487869","72:f1:cd:6f:22:96","Intel_30:32:07","LLC","139","S P, func=RNR, N(R)=64; DSAP NULL LSAP Individual, SSAP NULL LSAP Command"
"22","0.580152895","fe80::70f1:cdff:fe6f:2296","ff02::16","ICMPv6","150","Multicast Listener Report Message v2"
"23","0.580150697","72:f1:cd:6f:22:96","Intel_30:32:07","ARP","56","Gratuitous ARP for 172.17.61.137 (Reply)"
"24","0.659213992","e2:8c:8b:6c:2b:64","Intel_30:32:07","LLC","137","S P, func=RNR, N(R)=64; DSAP NULL LSAP Individual, SSAP NULL LSAP Command"
"25","0.676369435","172.17.60.119","224.0.0.251","MDNS","78","Standard query 0x0000 PTR _rdlink._tcp.local, ""QM"" question"
"26","0.679961656","fe80::897:1926:b4ae:7b96","ff02::fb","MDNS","98","Standard query 0x0000 PTR _rdlink._tcp.local, ""QM"" question"
"27","0.681222096","e2:8c:8b:6c:2b:64","Intel_30:32:07","LLC","137","S P, func=RNR, N(R)=64; DSAP NULL LSAP Individual, SSAP NULL LSAP Command"
"28","0.688636581","172.17.60.2","224.0.0.18","VRRP","60","Announcement (v2)"
"29","0.700615581","fe80::3891:23ff:fed4:b780","ff02::16","ICMPv6","110","Multicast Listener Report Message v2"
"30","1.089907317","fe80::bccd:1ac9:2422:f139","ff02::2","ICMPv6","70","Router Solicitation from 10:3f:44:1b:2d:33"
"31","1.089907064","172.17.60.119","224.0.0.251","MDNS","675","Standard query 0x0000 PTR _companion-link._tcp.local, ""QM"" question PTR saankhyaâ\200\231s MacBook Air._companion-link._tcp.local PTR Arnabhaâ\200\231s MacBook Air._companion-link._tcp.local PTR Shivanshâ\200\231s MacBook Air._companion-link._tcp.local PTR Adityaâ\200\231s MacBook Air (3)._companion-link._tcp.local PTR iPad (7)._companion-link._tcp.local PTR iPad (5)._companion-link._tcp.local PTR Nehaâ\200\231s MacBook Air._companion-link._tcp.local PTR iPad (3)._companion-link._tcp.local PTR Joshuaâ\200\231s MacBook Air._companion-link._tcp.local PTR Prathamâ\200\231s MacBook Air._companion-link._tcp.local PTR Aadidevâ\200\231s iMac._companion-link._tcp.local PTR Arhamâ\200\231s MacBook Air._companion-link._tcp.local PTR Shantnuâ\200\231s MacBook Air._companion-link._tcp.local PTR 0X1622â\200\231s MacBook Air._companion-link._tcp.local PTR Bhuvanâ\200\231s MacBook Pro._companion-link._tcp.local PTR Gauthamâ\200\231s MacBook Air._companion-link._tcp.local PTR Namanâ\200\231s MacBook Air._companion-link._tcp.local"
"32","1.090474868","fe80::897:1926:b4ae:7b96","ff02::fb","MDNS","695","Standard query 0x0000 PTR _companion-link._tcp.local, ""QM"" question PTR saankhyaâ\200\231s MacBook Air._companion-link._tcp.local PTR Arnabhaâ\200\231s MacBook Air._companion-link._tcp.local PTR Shivanshâ\200\231s MacBook Air._companion-link._tcp.local PTR Adityaâ\200\231s MacBook Air (3)._companion-link._tcp.local PTR iPad (7)._companion-link._tcp.local PTR iPad (5)._companion-link._tcp.local PTR Nehaâ\200\231s MacBook Air._companion-link._tcp.local PTR iPad (3)._companion-link._tcp.local PTR Joshuaâ\200\231s MacBook Air._companion-link._tcp.local PTR Prathamâ\200\231s MacBook Air._companion-link._tcp.local PTR Aadidevâ\200\231s iMac._companion-link._tcp.local PTR Arhamâ\200\231s MacBook Air._companion-link._tcp.local PTR Shantnuâ\200\231s MacBook Air._companion-link._tcp.local PTR 0X1622â\200\231s MacBook Air._companion-link._tcp.local PTR Bhuvanâ\200\231s MacBook Pro._companion-link._tcp.local PTR Gauthamâ\200\231s MacBook Air._companion-link._tcp.local PTR Namanâ\200\231s MacBook Air._companion-link._tcp.local"
"33","1.107184332","e2:8c:8b:6c:2b:64","Intel_30:32:07","ARP","64","Gratuitous ARP for 172.17.61.78 (Request)"
"34","1.203593798","fe80::c8d:5120:59d1:acf5","ff02::1:ff4f:9e2b","ICMPv6","86","Neighbor Solicitation for fe80::c08:20b6:ed4f:9e2b from 42:40:2f:3b:6a:dc"
"35","1.397465336","fe80::1455:4424:feef:4c5a","ff02::16","ICMPv6","110","Multicast Listener Report Message v2"
"36","1.397471047","0.0.0.0","255.255.255.255","DHCP","342","DHCP Request  - Transaction ID 0xa8029268"
"37","1.397476402","fe80::1455:4424:feef:4c5a","ff02::2","ICMPv6","62","Router Solicitation"
"38","1.397482482","::","ff02::1:ffef:4c5a","ICMPv6","86","Neighbor Solicitation for fe80::1455:4424:feef:4c5a"
"39","1.397530342","ce:22:b5:ab:cf:45","Intel_30:32:07","LLC","137","S P, func=RNR, N(R)=64; DSAP NULL LSAP Individual, SSAP NULL LSAP Command"
"40","1.397530733","ce:22:b5:ab:cf:45","Intel_30:32:07","LLC","137","S P, func=RNR, N(R)=64; DSAP NULL LSAP Individual, SSAP NULL LSAP Command"
